"parid","scheduleID","accuracy","original_label","note.x","correctans","note.y","duration2","id"
"210719_a25",14557507,0,"14557507_122LaNMvNM","spin","spoon","0_spin",0.113513205380578,23
"210719_a25",14557507,0,"14557507_134LaMvM","ten","tin","0_ten",0.209799674940896,35
"210719_a25",14557507,0,"14557507_21HaNMvNM","clark?","clerk","0_clark?",0.136221929505815,49
"210719_a41",14610319,0,"14610319_118LaMvNM","snail","sling","0_snail",0.0727179878048687,19
"210719_a41",14610319,0,"14610319_140HaMvNM","nasalisation 'mban'","van","0_nasalisation 'mban'",0.0633392210144847,41
"210719_a41",14610319,0,"14610319_17LaMvM","pulsed?","calf","0_pulsed?",0.104774030528031,46
"210719_a41",14610319,0,"14610319_38HaNMvNM","wrongthencorrectsit","den","0_wrongthencorrectsit",0.112451388888854,66
"210719_a41",14610319,0,"14610319_94LaMvM","bet","pet","0_bet",0.195592788461494,122
"210719_a41",14610319,0,"14610319_98LaMvM","time","pine","0_time",0.203901969178031,125
"210719_c12",14456668,0,"14456668_65HaMvM","I dont' know","herd","0_I dont' know",0.226919070512793,94
"210719_c12",14456668,0,"14456668_74LaMvNM","a kick","kick","0_a kick",0.132138194444437,103
"210719_c26",14526592,0,"14526592_140HaNMvNM","s van","van","0_s van",0.378744021575145,41
"210719_c26",14526592,0,"14526592_21LaMvM","'clocp'","clerk","0_'clocp'",0.155468070652176,49
"210719_c26",14526592,0,"14526592_50LaMvNM","'fame'","flame","0_'fame'",0.213850378787868,79
"210719_c26",14526592,0,"14526592_51LaNMvM","sounds like 'flog'. I think it ends with a click actually","flock","0_sounds like 'flog'. I think it ends with a click actually",0.164010725766559,80
"210719_c26",14526592,0,"14526592_73HaNMvNM","I think the final 'k' is voiced though","junk","0_I think the final 'k' is voiced though",0.0889519278607054,102
"210719_c29",14956811,0,"14956811_107LaMvNM","it ends with a click","rope","0_it ends with a click",0.452937859195401,6
"210719_c29",14956811,0,"14956811_121LaMvM","spoold","spool","0_spoold",0.258672032828265,20
"210719_c29",14956811,0,"14956811_134LaNMvNM","too quite to be heard","tin","0_too quite to be heard",0.16942329545455,33
"210719_c29",14956811,0,"14956811_16HaNMvM","do not think she said anything","cake","0_do not think she said anything",0.197637731481464,43
